category,start_date,end_date,revenue
Uncategorized,2025-04-01,2025-04-30,284.0
Build your own Energy,2025-04-01,2025-04-30,15.5
Crochet Goods,2025-04-01,2025-04-30,28.0
Espresso Basics,2025-04-01,2025-04-30,338.4
Flights,2025-04-01,2025-04-30,87.5
Non-coffee,2025-04-01,2025-04-30,253.5
Specialty Energy Drinks,2025-04-01,2025-04-30,299.0
Specialty Espresso,2025-04-01,2025-04-30,891.7
June specials,2025-04-01,2025-04-30,0.0
Uncategorized,2025-05-01,2025-05-31,870.0
Build your own Energy,2025-05-01,2025-05-31,0.0
Crochet Goods,2025-05-01,2025-05-31,73.0
Espresso Basics,2025-05-01,2025-05-31,401.5
Flights,2025-05-01,2025-05-31,120.0
Non-coffee,2025-05-01,2025-05-31,688.85
Specialty Energy Drinks,2025-05-01,2025-05-31,831.0
Specialty Espresso,2025-05-01,2025-05-31,1669.0
June specials,2025-05-01,2025-05-31,0.0
Uncategorized,2025-06-01,2025-06-18,44.5
Build your own Energy,2025-06-01,2025-06-18,7.0
Crochet Goods,2025-06-01,2025-06-18,55.0
Espresso Basics,2025-06-01,2025-06-18,307.0
Flights,2025-06-01,2025-06-18,45.0
Non-coffee,2025-06-01,2025-06-18,201.5
Specialty Energy Drinks,2025-06-01,2025-06-18,162.0
Specialty Espresso,2025-06-01,2025-06-18,839.5
June specials,2025-06-01,2025-06-18,426.5
